"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","central_fixation","clock_backend","color_backend","correct","correct_welcome","count_end_sketchpad","count_experiment","count_fix_sketchpad","count_fixation","count_fixation_inline_script","count_fixation_pygaze_log","count_fixation_script","count_fixation_sketchpad","count_getting_started","count_image_loop","count_image_stimulus","count_initial_fixation","count_new_1_inline_script","count_new_1_loop","count_new_1_pygaze_log","count_new_1_sketchpad","count_new_2_inline_script","count_new_2_loop","count_new_2_pygaze_log","count_new_3_inline_script","count_new_3_loop","count_new_4_inline_script","count_new_4_loop","count_new_inline_script","count_new_logger","count_new_loop","count_new_pygaze_init","count_new_pygaze_log","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sequence","count_position_loop","count_shuffle_to_csv","count_welcome","d","datetime","description","disable_garbage_collection","experiment_file","experiment_path","file_path","filename","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","i","keyboard_backend","live_row","live_row_position_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","picture1","picture2","repeat_cycle","response","response_end_sketchpad","response_time","response_time_end_sketchpad","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","stimulus1","stimulus2","subject_nr","subject_parity","t0","time_end_sketchpad","time_experiment","time_fix_sketchpad","time_fixation","time_fixation_inline_script","time_fixation_pygaze_log","time_fixation_script","time_fixation_sketchpad","time_getting_started","time_image_loop","time_image_stimulus","time_initial_fixation","time_new_1_inline_script","time_new_1_loop","time_new_1_pygaze_log","time_new_1_sketchpad","time_new_2_inline_script","time_new_2_loop","time_new_2_pygaze_log","time_new_3_inline_script","time_new_3_loop","time_new_4_inline_script","time_new_4_loop","time_new_inline_script","time_new_logger","time_new_loop","time_new_pygaze_init","time_new_pygaze_log","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sequence","time_position_loop","time_shuffle_to_csv","time_welcome","title","total_correct","total_response_time","total_responses","width","x1_cor","x2_cor","y1_cor","y2_cor"
"undefined","undefined","undefined","undefined","#3d3846","legacy","False","legacy","legacy","undefined","undefined","0","0","0","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","1061.2350126319805","Fri Jun 21 13:40:12 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","0","0","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Claudius-3.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","715.0","NA","715","space","2","legacy","1024","2","48000","-16","experiment","NA","017.png","018.png","3","odd","624767.0","NA","553702","632845","629771","NA","629771","624767","NA","NA","NA","629802","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","632945","NA","554456","632802","606689","NA","624766","624690","553732","553740","Left-Bias-Elimination","0","0","0","1920","-160","160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","1","1","NA","1","1","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","0","1","0","0","1","0","0","0","75.51317376881998","Fri Jun 21 13:40:12 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","1","1","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Claudius-3.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","715.0","NA","715","space","2","legacy","1024","2","48000","-16","experiment","NA","006.png","005.png","3","odd","633048.0","NA","553702","636067","633052","NA","633052","633048","NA","NA","NA","633060","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","636167","NA","554456","636060","606689","NA","633036","624690","553732","553740","Left-Bias-Elimination","0","0","0","1920","160","-160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","2","2","NA","2","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","0","2","0","0","2","0","0","0","55.1949965167133","Fri Jun 21 13:40:12 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","2","2","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Claudius-3.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","715.0","NA","715","space","2","legacy","1024","2","48000","-16","experiment","NA","019.png","013.png","3","odd","636249.0","NA","553702","639798","636784","NA","636784","636249","NA","NA","NA","636792","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","639898","NA","554456","639792","606689","NA","636249","624690","553732","553740","Left-Bias-Elimination","0","0","0","1920","-320","320","0","0"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","3","3","NA","3","3","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","0","3","0","0","3","0","0","0","78.07624073019913","Fri Jun 21 13:40:12 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","3","3","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Claudius-3.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","715.0","NA","715","space","2","legacy","1024","2","48000","-16","experiment","NA","021.png","015.png","3","odd","639981.0","NA","553702","643201","640186","NA","640186","639981","NA","NA","NA","640195","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","643301","NA","554456","643195","606689","NA","639979","624690","553732","553740","Left-Bias-Elimination","0","0","0","1920","277","-277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","4","4","NA","4","4","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","0","4","0","0","4","0","0","0","25.406736923894822","Fri Jun 21 13:40:12 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","4","4","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Claudius-3.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","715.0","NA","715","space","2","legacy","1024","2","48000","-16","experiment","NA","016.png","016.png","3","odd","643378.0","NA","553702","646398","643382","NA","643382","643377","NA","NA","NA","643391","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","646498","NA","554456","646391","606689","NA","643376","624690","553732","553740","Left-Bias-Elimination","0","0","0","1920","-277","277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","5","5","NA","5","5","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","0","5","0","0","5","0","0","0","28.324325466284336","Fri Jun 21 13:40:12 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","5","5","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Claudius-3.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","715.0","NA","715","space","2","legacy","1024","2","48000","-16","experiment","NA","012.png","000.png","3","odd","646580.0","NA","553702","649854","646839","NA","646840","646580","NA","NA","NA","646848","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","649954","NA","554456","649848","606689","NA","646579","624690","553732","553740","Left-Bias-Elimination","0","0","0","1920","-160","160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","6","6","NA","6","6","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","0","6","0","0","6","0","0","0","43.85702214241179","Fri Jun 21 13:40:12 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","6","6","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Claudius-3.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","715.0","NA","715","space","2","legacy","1024","2","48000","-16","experiment","NA","005.png","019.png","3","odd","650034.0","NA","553702","653053","650039","NA","650039","650033","NA","NA","NA","650047","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","653153","NA","554456","653047","606689","NA","650033","624690","553732","553740","Left-Bias-Elimination","0","0","0","1920","-320","320","0","0"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","7","7","NA","7","7","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","0","7","0","0","7","0","0","0","48.313408563669014","Fri Jun 21 13:40:12 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","7","7","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Claudius-3.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","715.0","NA","715","space","2","legacy","1024","2","48000","-16","experiment","NA","020.png","003.png","3","odd","653259.0","NA","553702","656277","653261","NA","653261","653259","NA","NA","NA","653271","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","656377","NA","554456","656271","606689","NA","653258","624690","553732","553740","Left-Bias-Elimination","0","0","0","1920","160","-160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","8","8","NA","8","8","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","0","8","0","0","8","0","0","0","56.85696142285487","Fri Jun 21 13:40:12 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","8","8","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Claudius-3.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","715.0","NA","715","space","2","legacy","1024","2","48000","-16","experiment","NA","009.png","020.png","3","odd","656465.0","NA","553702","659487","656468","NA","656468","656465","NA","NA","NA","656479","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","659587","NA","554456","659479","606689","NA","656465","624690","553732","553740","Left-Bias-Elimination","0","0","0","1920","277","-277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","9","9","NA","9","9","NA","NA","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","NA","0","9","0","0","9","0","0","0","44.627811755451305","Fri Jun 21 13:40:12 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","9","9","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Claudius-3.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","715.0","NA","715","space","2","legacy","1024","2","48000","-16","experiment","NA","013.png","009.png","3","odd","659678.0","NA","553702","662696","659681","NA","659681","659678","NA","NA","NA","659689","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","662796","NA","554456","662689","606689","NA","659678","624690","553732","553740","Left-Bias-Elimination","0","0","0","1920","0","0","320","-320"
