CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
97702	1582.19751	98350166987	-0.00587	0.16037	1581.95496	0.24255	2436	1	-0.02868	0.22162	1	0.04778	0.18485	1	0.00955	0.20324	1	0.38678	0.38253	18.40396	0.91897	1	0.63480	0.37887	25.10240	0.91897	1	-0.01654	0.02367	0.63376	0.00469	1	0.03293	0.02066	0.60668	0.00542	1	-0.60781	0.52130	0	0
97703	1582.21375	98350328768	-0.00590	0.16142	1581.95496	0.25879	2436	1	-0.04776	0.21373	1	0.03482	0.14276	1	-0.00647	0.17825	1	0.38704	0.38286	18.40664	0.92469	1	0.63493	0.37907	24.83290	0.93031	1	-0.01654	0.02367	0.63376	0.00468	1	0.03293	0.02066	0.60668	0.00549	1	-0.60781	0.52130	0	
97704	1582.22998	98350490963	-0.00637	0.16081	1581.95496	0.27502	2436	1	-0.05760	0.21714	1	0.02897	0.08370	1	-0.01432	0.15042	1	0.38733	0.38294	18.36522	0.93603	1	0.63508	0.37899	24.54225	0.94166	1	-0.01654	0.02367	0.63376	0.00465	1	0.03293	0.02066	0.60668	0.00552	1	-0.60781	0.52130	0	START_TRIAL
97705	1582.24585	98350649980	-0.00709	0.15956	1581.95496	0.29089	2436	1	-0.06466	0.20504	1	0.02464	0.06915	1	-0.02001	0.13709	1	0.38755	0.38285	18.14759	0.94738	1	0.63542	0.37909	24.35612	0.95300	1	-0.01654	0.02367	0.63376	0.00473	1	0.03338	0.02071	0.60816	0.00552	1	-0.60781	0.52130	0	START_TRIAL
97706	1582.26221	98350813416	-0.00822	0.15957	1581.95496	0.30725	2436	1	-0.09220	0.23623	1	0.03273	0.08294	1	-0.02973	0.15959	1	0.38816	0.38283	18.46649	0.95300	1	0.63612	0.37897	23.98577	0.95300	1	-0.01654	0.02367	0.63376	0.00468	1	0.03338	0.02071	0.60816	0.00556	1	-0.60781	0.52130	0	
97707	1582.27844	98350975764	-0.00895	0.15899	1581.95496	0.32349	2436	1	-0.05375	0.20026	1	0.00674	0.09454	1	-0.02350	0.14740	1	0.38858	0.38285	18.39731	0.95300	1	0.63648	0.37903	24.15061	0.95300	1	-0.01654	0.02367	0.63376	0.00467	1	0.03338	0.02071	0.60816	0.00552	1	-0.60781	0.52130	0	
97708	1582.29456	98351137523	-0.00943	0.15892	1581.95496	0.33960	2436	1	-0.05027	0.20635	1	0.01127	0.10880	1	-0.01950	0.15758	1	0.38877	0.38298	18.23757	0.94728	1	0.63661	0.37926	24.00655	0.94166	1	-0.01654	0.02367	0.63376	0.00469	1	0.03272	0.02003	0.59221	0.00553	1	-0.60781	0.52130	0	
97709	1582.31079	98351299376	-0.00970	0.16002	1581.95496	0.35583	2436	1	-0.04281	0.18731	1	0.01168	0.18082	1	-0.01557	0.18406	1	0.38947	0.38313	18.12495	0.93593	1	0.63736	0.37969	24.88407	0.93031	1	-0.01654	0.02367	0.63376	0.00466	1	0.03272	0.02003	0.59221	0.00553	1	-0.60781	0.52130	0	
97710	1582.32690	98351460521	-0.00915	0.16016	1581.95496	0.37195	2436	1	-0.03794	0.21058	1	0.04485	0.11640	1	0.00345	0.16349	1	0.38972	0.38320	18.26251	0.92459	1	0.63772	0.37973	23.97746	0.91897	1	-0.01654	0.02367	0.63376	0.00463	1	0.03272	0.02003	0.59221	0.00556	1	-0.60781	0.52130	0	
97711	1582.34314	98351623220	-0.00857	0.16042	1581.95496	0.38818	2436	1	-0.03449	0.21669	1	0.04485	0.11640	1	0.00518	0.16655	1	0.38992	0.38344	18.45929	0.91897	1	0.63778	0.38005	24.35537	0.91897	1	-0.01654	0.02367	0.63376	0.00465	1	0.03353	0.02034	0.60274	0.00547	1	-0.60781	0.52130	0	
97712	1582.35925	98351784115	-0.00883	0.16149	1581.95496	0.40430	2436	1	-0.05330	0.23262	1	0.02293	0.14404	1	-0.01519	0.18833	1	0.39031	0.38353	18.05593	0.92469	1	0.63830	0.38034	24.22992	0.93031	1	-0.01654	0.02367	0.63376	0.00469	1	0.03353	0.02034	0.60274	0.00552	1	-0.60781	0.52130	0	
97713	1582.37549	98351946053	-0.00848	0.16191	1581.95496	0.42053	2436	1	-0.03890	0.20623	1	0.04024	0.13969	1	0.00067	0.17296	1	0.39071	0.38338	18.46953	0.93603	1	0.63859	0.38033	24.55600	0.94166	1	-0.01654	0.02367	0.63376	0.00467	1	0.03353	0.02034	0.60274	0.00556	1	-0.60781	0.52130	0	
