CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
101977	689.24243	7244978570	0.49363	0.48293	688.76740	0.47504	1939	1	0.47307	0.46048	1	0.45805	0.51976	1	0.46556	0.49012	1	0.42763	0.55760	22.21628	1.01084	1	0.67343	0.53417	24.90866	1.01084	1	-0.01858	-0.01358	0.68089	0.00477	1	0.04592	-0.00867	0.68815	0.00498	1	-0.46875	0.57778	0	0
101978	689.24976	7245051325	0.49311	0.48408	688.76740	0.48236	1939	1	0.47942	0.49751	1	0.49448	0.53838	1	0.48695	0.51794	1	0.42776	0.55780	22.23626	1.01084	1	0.67343	0.53431	24.70599	1.01084	1	-0.01858	-0.01358	0.68089	0.00476	1	0.04592	-0.00867	0.68815	0.00497	1	-0.46875	0.57778	0	
101979	689.25647	7245118848	0.49292	0.48512	688.76740	0.48907	1939	1	0.50067	0.48347	1	0.50757	0.53180	1	0.50412	0.50764	1	0.42802	0.55813	22.30145	1.01084	1	0.67360	0.53465	24.91318	1.01084	1	-0.01858	-0.01358	0.68089	0.00475	1	0.04592	-0.00867	0.68815	0.00504	1	-0.46875	0.57778	0	
101980	689.26282	7245182208	0.49274	0.48609	688.76740	0.49542	1939	1	0.50067	0.48347	1	0.50757	0.53180	1	0.50412	0.50764	1	0.42786	0.55792	21.35659	1.01084	1	0.67366	0.53476	24.95759	1.01084	1	-0.01872	-0.01379	0.68598	0.00481	1	0.04543	-0.00876	0.67917	0.00504	1	-0.46875	0.57778	0	
101981	689.26923	7245246511	0.49271	0.48767	688.76740	0.50183	1939	1	0.52676	0.54522	1	0.49530	0.55460	1	0.51103	0.54991	1	0.42835	0.55883	22.52654	1.01084	1	0.67380	0.53530	25.04713	1.01084	1	-0.01872	-0.01379	0.68598	0.00472	1	0.04543	-0.00876	0.67917	0.00511	1	-0.46875	0.57778	0	
101982	689.27606	7245314415	0.49247	0.48974	688.76740	0.50867	1939	1	0.51384	0.57808	1	0.49263	0.55704	1	0.50323	0.56756	1	0.42832	0.55900	22.51457	1.01084	1	0.67381	0.53558	24.98409	1.01084	1	-0.01872	-0.01379	0.68598	0.00474	1	0.04543	-0.00876	0.67917	0.00507	1	-0.46875	0.57778	0	START_TRIAL
101983	689.28339	7245387754	0.49222	0.49149	688.76740	0.51599	1939	1	0.51345	0.57213	1	0.49305	0.54518	1	0.50325	0.55866	1	0.42831	0.55901	22.49147	1.01929	1	0.67382	0.53556	24.98280	1.02768	1	-0.01872	-0.01379	0.68598	0.00474	1	0.04676	-0.00903	0.69990	0.00506	1	-0.46875	0.57778	0	
101984	689.28949	7245448988	0.49251	0.49318	688.76740	0.52209	1939	1	0.50869	0.56257	1	0.52278	0.54857	1	0.51573	0.55557	1	0.42812	0.55913	22.43898	1.03613	1	0.67378	0.53561	25.08382	1.04452	1	-0.01872	-0.01379	0.68598	0.00468	1	0.04676	-0.00903	0.69990	0.00506	1	-0.46875	0.57778	0	
101985	689.29590	7245513330	0.49345	0.52284	688.76740	0.52209	1939	0	0.49695	0.55722	1	0.52190	0.53534	1	0.50942	0.54628	1	0.42808	0.55914	22.26906	1.05297	1	0.67370	0.53564	24.97160	1.06136	1	-0.01872	-0.01379	0.68598	0.00472	1	0.04676	-0.00903	0.69990	0.00506	1	-0.46875	0.57778	0	
101986	689.30310	7245584823	0.50129	0.53017	688.76740	0.52209	1939	0	0.49597	0.54550	1	0.52231	0.52951	1	0.50914	0.53750	1	0.42808	0.55914	22.26906	1.06981	1	0.67365	0.53563	24.86240	1.06981	1	-0.01918	-0.01414	0.70086	0.00472	1	0.04592	-0.00888	0.68815	0.00505	1	-0.46875	0.57778	0	
101987	689.30981	7245652292	0.50578	0.53462	688.76740	0.52209	1939	0	0.49154	0.54996	1	0.53794	0.53706	1	0.51474	0.54351	1	0.42798	0.55920	22.27203	1.06981	1	0.67361	0.53559	24.80519	1.06142	1	-0.01918	-0.01414	0.70086	0.00475	1	0.04592	-0.00888	0.68815	0.00502	1	-0.46875	0.57778	0	
101988	689.31622	7245716269	0.50784	0.53202	689.29590	0.02032	1940	1	0.49447	0.50457	1	0.53359	0.54386	1	0.51403	0.52421	1	0.42791	0.55923	22.32135	1.06142	1	0.67357	0.53563	24.85393	1.05303	1	-0.01918	-0.01414	0.70086	0.00470	1	0.04592	-0.00888	0.68815	0.00502	1	-0.46875	0.57778	0	
101989	689.32275	7245781852	0.50908	0.53165	689.29590	0.02686	1940	1	0.49497	0.51078	1	0.53310	0.54963	1	0.51404	0.53020	1	0.42791	0.55923	22.32135	1.05303	1	0.67356	0.53560	24.84797	1.04464	1	-0.01936	-0.01438	0.70728	0.00470	1	0.04571	-0.00886	0.68647	0.00504	1	-0.46875	0.57778	0	
101990	689.32965	7245850396	0.51049	0.53431	689.29590	0.03375	1940	1	0.51669	0.53869	1	0.51840	0.55650	1	0.51755	0.54759	1	0.42776	0.55932	22.15983	1.04464	1	0.67337	0.53570	25.03512	1.04464	1	-0.01936	-0.01438	0.70728	0.00470	1	0.04571	-0.00886	0.68647	0.00503	1	-0.46875	0.57778	0	
101991	689.33636	7245917837	0.51124	0.53736	689.29590	0.04047	1940	1	0.51067	0.54560	1	0.52081	0.56575	1	0.51574	0.55568	1	0.42776	0.55932	22.15983	1.04464	1	0.67332	0.53579	25.00466	1.04464	1	-0.01936	-0.01438	0.70728	0.00470	1	0.04571	-0.00886	0.68647	0.00502	1	-0.46875	0.57778	0	
101992	689.34296	7245983719	0.51180	0.54103	689.29590	0.04706	1940	1	0.51141	0.55694	1	0.52004	0.57644	1	0.51573	0.56669	1	0.42773	0.55934	22.19413	1.02873	1	0.67332	0.53579	25.00466	1.02873	1	-0.01827	-0.01354	0.66387	0.00468	1	0.04571	-0.00886	0.68647	0.00502	1	-0.46875	0.57778	0	
101993	689.34967	7246050493	0.51371	0.54184	689.29590	0.05377	1940	1	0.54385	0.52288	1	0.51419	0.57385	1	0.52902	0.54836	1	0.42773	0.55934	22.19413	1.01283	1	0.67327	0.53578	24.74516	1.01283	1	-0.01827	-0.01354	0.66387	0.00468	1	0.04571	-0.00886	0.68647	0.00503	1	-0.46875	0.57778	0	
101994	689.35645	7246118686	0.51503	0.54405	689.29590	0.06055	1940	1	0.54323	0.54245	1	0.51051	0.58546	1	0.52687	0.56395	1	0.42767	0.55939	22.21505	0.99692	1	0.67324	0.53579	24.69605	0.99692	1	-0.01827	-0.01354	0.66387	0.00467	1	0.04571	-0.00886	0.68647	0.00503	1	-0.46875	0.57778	0	
101995	689.36310	7246184753	0.51610	0.54641	689.29590	0.06720	1940	1	0.54339	0.54878	1	0.51016	0.59125	1	0.52678	0.57001	1	0.42767	0.55939	22.21505	0.98847	1	0.67327	0.53578	24.74516	0.98847	1	-0.01881	-0.01391	0.68162	0.00467	1	0.04571	-0.00886	0.68647	0.00503	1	-0.46875	0.57778	0	
101996	689.36969	7246251134	0.51633	0.54825	689.29590	0.07379	1940	1	0.53746	0.54703	1	0.50029	0.58978	1	0.51888	0.56841	1	0.42751	0.55953	22.20249	0.99593	1	0.67322	0.53582	24.68799	0.99593	1	-0.01881	-0.01391	0.68162	0.00471	1	0.04571	-0.00886	0.68647	0.00501	1	-0.46875	0.57778	0	
101997	689.37683	7246322511	0.51634	0.54979	689.29590	0.08093	1940	1	0.53228	0.53972	1	0.50068	0.59694	1	0.51648	0.56833	1	0.42749	0.55956	22.19196	1.00338	1	0.67320	0.53583	24.74257	1.00338	1	-0.01881	-0.01391	0.68162	0.00469	1	0.04571	-0.00886	0.68647	0.00501	1	-0.46875	0.57778	0	
101998	689.38361	7246390261	0.51635	0.55074	689.29590	0.08771	1940	1	0.53206	0.53415	1	0.50092	0.59195	1	0.51649	0.56305	1	0.42748	0.55955	22.14211	1.01084	1	0.67320	0.53583	24.74257	1.01084	1	-0.01881	-0.01391	0.68162	0.00470	1	0.04571	-0.00886	0.68647	0.00501	1	-0.46875	0.57778	0	START_SEQUENCE
101999	689.39001	7246453915	0.51585	0.55216	689.29590	0.09412	1940	1	0.51915	0.55452	1	0.49856	0.58975	1	0.50886	0.57213	1	0.42751	0.55964	22.15714	1.01084	1	0.67314	0.53590	24.63396	1.01084	1	-0.01881	-0.01391	0.68162	0.00470	1	0.04571	-0.00886	0.68647	0.00499	1	-0.46875	0.57778	0	
102000	689.39685	7246522570	0.51556	0.55177	689.29590	0.10095	1940	1	0.52108	0.55215	1	0.50130	0.53955	1	0.51119	0.54585	1	0.42750	0.55967	22.25085	1.01084	1	0.67311	0.53593	24.73548	1.01084	1	-0.01881	-0.01391	0.68162	0.00468	1	0.04571	-0.00886	0.68647	0.00498	1	-0.46875	0.57778	0	
