"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","central_fixation","clock_backend","color_backend","correct","correct_welcome","count_end_sketchpad","count_experiment","count_fix_sketchpad","count_fixation","count_fixation_inline_script","count_fixation_pygaze_log","count_fixation_script","count_fixation_sketchpad","count_getting_started","count_image_loop","count_image_stimulus","count_initial_fixation","count_new_1_inline_script","count_new_1_loop","count_new_1_pygaze_log","count_new_1_sketchpad","count_new_2_inline_script","count_new_2_loop","count_new_2_pygaze_log","count_new_3_inline_script","count_new_3_loop","count_new_4_inline_script","count_new_4_loop","count_new_inline_script","count_new_logger","count_new_loop","count_new_pygaze_init","count_new_pygaze_log","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sequence","count_position_loop","count_shuffle_to_csv","count_welcome","d","datetime","description","disable_garbage_collection","experiment_file","experiment_path","file_path","filename","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","i","keyboard_backend","live_row","live_row_position_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","picture1","picture2","repeat_cycle","response","response_end_sketchpad","response_time","response_time_end_sketchpad","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","stimulus1","stimulus2","subject_nr","subject_parity","t0","time_end_sketchpad","time_experiment","time_fix_sketchpad","time_fixation","time_fixation_inline_script","time_fixation_pygaze_log","time_fixation_script","time_fixation_sketchpad","time_getting_started","time_image_loop","time_image_stimulus","time_initial_fixation","time_new_1_inline_script","time_new_1_loop","time_new_1_pygaze_log","time_new_1_sketchpad","time_new_2_inline_script","time_new_2_loop","time_new_2_pygaze_log","time_new_3_inline_script","time_new_3_loop","time_new_4_inline_script","time_new_4_loop","time_new_inline_script","time_new_logger","time_new_loop","time_new_pygaze_init","time_new_pygaze_log","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sequence","time_position_loop","time_shuffle_to_csv","time_welcome","title","total_correct","total_response_time","total_responses","width","x1_cor","x2_cor","y1_cor","y2_cor"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","0","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","47.46082838720793","Fri Jun 21 13:37:28 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","0","0","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/max2.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","899.0","NA","899","space","2","legacy","1024","2","48000","-16","experiment","NA","020.png","020.png","2","even","441434.0","NA","390454","444861","441783","NA","441783","441434","NA","NA","NA","441812","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","444961","NA","391359","444812","428137","NA","441432","441333","390457","390460","Left-Bias-Elimination","0","0","0","1920","277","-277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","1","1","NA","1","1","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","0","1","0","0","1","0","0","0","48.61901358439927","Fri Jun 21 13:37:28 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","1","1","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/max2.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","899.0","NA","899","space","2","legacy","1024","2","48000","-16","experiment","NA","018.png","012.png","2","even","445064.0","NA","390454","448208","445194","NA","445194","445064","NA","NA","NA","445202","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","448308","NA","391359","448202","428137","NA","445053","441333","390457","390460","Left-Bias-Elimination","0","0","0","1920","160","-160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","2","2","NA","2","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","0","2","0","0","2","0","0","0","82.21905863435798","Fri Jun 21 13:37:28 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","2","2","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/max2.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","899.0","NA","899","space","2","legacy","1024","2","48000","-16","experiment","NA","013.png","008.png","2","even","448386.0","NA","390454","451610","448596","NA","448596","448386","NA","NA","NA","448604","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","451710","NA","391359","451604","428137","NA","448384","441333","390457","390460","Left-Bias-Elimination","0","0","0","1920","-320","320","0","0"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","3","3","NA","3","3","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","0","3","0","0","3","0","0","0","46.621912547642175","Fri Jun 21 13:37:28 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","3","3","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/max2.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","899.0","NA","899","space","2","legacy","1024","2","48000","-16","experiment","NA","010.png","016.png","2","even","451794.0","NA","390454","455283","452265","NA","452265","451794","NA","NA","NA","452273","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","455383","NA","391359","455273","428137","NA","451794","441333","390457","390460","Left-Bias-Elimination","0","0","0","1920","0","0","320","-320"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","4","4","NA","4","4","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","0","4","0","0","4","0","0","0","73.99024551925743","Fri Jun 21 13:37:28 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","4","4","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/max2.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","899.0","NA","899","space","2","legacy","1024","2","48000","-16","experiment","NA","005.png","002.png","2","even","455476.0","NA","390454","459465","456449","NA","456449","455476","NA","NA","NA","456458","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","459565","NA","391359","459458","428137","NA","455476","441333","390457","390460","Left-Bias-Elimination","0","0","0","1920","160","-160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","5","5","NA","5","5","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","0","5","0","0","5","0","0","0","56.06458032233903","Fri Jun 21 13:37:28 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","5","5","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/max2.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","899.0","NA","899","space","2","legacy","1024","2","48000","-16","experiment","NA","019.png","000.png","2","even","459659.0","NA","390454","462679","459662","NA","459662","459659","NA","NA","NA","459672","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","462779","NA","391359","462672","428137","NA","459659","441333","390457","390460","Left-Bias-Elimination","0","0","0","1920","0","0","320","-320"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","6","6","NA","6","6","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","0","6","0","0","6","0","0","0","98.6418029689239","Fri Jun 21 13:37:28 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","6","6","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/max2.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","899.0","NA","899","space","2","legacy","1024","2","48000","-16","experiment","NA","015.png","018.png","2","even","462857.0","NA","390454","465971","462957","NA","462957","462857","NA","NA","NA","462964","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","466071","NA","391359","465964","428137","NA","462857","441333","390457","390460","Left-Bias-Elimination","0","0","0","1920","-160","160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","7","7","NA","7","7","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","0","7","0","0","7","0","0","0","58.27793861007784","Fri Jun 21 13:37:28 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","7","7","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/max2.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","899.0","NA","899","space","2","legacy","1024","2","48000","-16","experiment","NA","016.png","006.png","2","even","466163.0","NA","390454","469180","466166","NA","466166","466163","NA","NA","NA","466174","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","469280","NA","391359","469174","428137","NA","466163","441333","390457","390460","Left-Bias-Elimination","0","0","0","1920","-160","160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","8","8","NA","8","8","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","0","8","0","0","8","0","0","0","7.803843852871391","Fri Jun 21 13:37:28 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","8","8","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/max2.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","899.0","NA","899","space","2","legacy","1024","2","48000","-16","experiment","NA","000.png","019.png","2","even","469372.0","NA","390454","472391","469375","NA","469375","469372","NA","NA","NA","469385","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","472491","NA","391359","472385","428137","NA","469371","441333","390457","390460","Left-Bias-Elimination","0","0","0","1920","-277","277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","9","9","NA","9","9","NA","NA","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","NA","0","9","0","0","9","0","0","0","64.0022061269766","Fri Jun 21 13:37:28 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","9","9","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/max2.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","899.0","NA","899","space","2","legacy","1024","2","48000","-16","experiment","NA","012.png","007.png","2","even","472570.0","NA","390454","475697","472681","NA","472681","472570","NA","NA","NA","472690","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","475797","NA","391359","475690","428137","NA","472570","441333","390457","390460","Left-Bias-Elimination","0","0","0","1920","-320","320","0","0"
