CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
86068	1394.02136	96468405605	0.00000	0.00000	1393.48755	0.40417	2068	0	0.55144	0.45009	0	0.54604	0.54441	0	0.54874	0.49725	0	0.39904	0.38349	21.82729	1.06886	0	0.65313	0.37569	20.04144	1.06886	0	-0.02550	0.02176	0.66544	0.00477	1	0.03845	0.02311	0.65827	0.00484	1	-0.54740	0.47500	0	
86069	1394.03760	96468567402	0.00000	0.00000	1393.48755	0.40417	2068	0	0.55144	0.45009	0	0.54604	0.54441	0	0.54874	0.49725	0	0.39904	0.38349	21.82729	1.06886	0	0.65313	0.37569	20.04144	1.06886	0	-0.02550	0.02176	0.66544	0.00477	1	0.03845	0.02311	0.65827	0.00484	1	-0.54740	0.47500	0	
86070	1394.05371	96468728379	0.00000	0.00000	1393.48755	0.40417	2068	0	0.55144	0.45009	0	0.54604	0.54441	0	0.54874	0.49725	0	0.39904	0.38349	21.82729	1.06886	0	0.65313	0.37569	20.04144	1.06886	0	-0.02550	0.02176	0.66544	0.00477	1	0.03845	0.02311	0.65827	0.00484	1	-0.54740	0.47500	0	START_TRIAL
86071	1394.06995	96468890921	0.00000	0.00000	1393.48755	0.40417	2068	0	0.55144	0.45009	0	0.54604	0.54441	0	0.54874	0.49725	0	0.39904	0.38349	21.82729	1.06886	0	0.65313	0.37569	20.04144	1.06886	0	-0.02550	0.02176	0.66544	0.00477	1	0.03845	0.02311	0.65827	0.00484	1	-0.54740	0.47500	0	
86072	1394.08582	96469049637	0.25718	0.13914	1393.48755	0.40417	2068	0	0.51505	0.25048	1	0.51367	0.30607	1	0.51436	0.27827	1	0.39837	0.38160	23.73714	1.06886	1	0.65389	0.37390	23.37072	1.06886	1	-0.02550	0.02176	0.66544	0.00491	1	0.03845	0.02311	0.65827	0.00496	1	-0.54740	0.47500	0	
86073	1394.10193	96469210394	0.51247	0.28449	1393.48755	0.40417	2068	0	0.52261	0.27054	1	0.49856	0.31087	1	0.51058	0.29070	1	0.39818	0.38175	23.73243	1.06886	1	0.65374	0.37399	23.13376	1.06886	1	-0.02550	0.02176	0.66544	0.00493	1	0.03845	0.02311	0.65827	0.00500	1	-0.54740	0.47500	0	
86074	1394.11841	96469376070	0.51153	0.28760	1393.48755	0.40417	2068	0	0.52261	0.27054	1	0.49856	0.31087	1	0.51058	0.29070	1	0.39822	0.38169	23.54215	1.06886	1	0.65364	0.37408	23.25931	1.06886	1	-0.02536	0.02166	0.65935	0.00493	1	0.03811	0.02305	0.65247	0.00499	1	-0.54740	0.47500	0	
86075	1394.13428	96469534831	0.50519	0.28305	1393.48755	0.40417	2068	0	0.49082	0.24033	1	0.49422	0.30760	1	0.49252	0.27397	1	0.39770	0.38184	23.40440	1.06886	1	0.65327	0.37407	23.56787	1.06886	1	-0.02536	0.02166	0.65935	0.00495	1	0.03811	0.02305	0.65247	0.00498	1	-0.54740	0.47500	0	
86076	1394.15051	96469697025	0.49844	0.27868	1394.10193	0.04858	2069	1	0.48001	0.22518	1	0.47639	0.30593	1	0.47820	0.26555	1	0.39655	0.38224	23.62773	1.06886	1	0.65207	0.37423	23.55123	1.06886	1	-0.02536	0.02166	0.65935	0.00508	1	0.03811	0.02305	0.65247	0.00508	1	-0.54740	0.47500	0	
86077	1394.16663	96469858086	0.49447	0.27761	1394.10193	0.06470	2069	1	0.48116	0.23298	1	0.47600	0.31367	1	0.47858	0.27332	1	0.39605	0.38214	23.42702	1.06151	1	0.65148	0.37414	23.17608	1.06151	1	-0.02424	0.02025	0.61930	0.00504	1	0.03741	0.02288	0.65057	0.00513	1	-0.54740	0.47500	0	
