"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","central_fixation","clock_backend","color_backend","correct","correct_welcome","count_end_sketchpad","count_experiment","count_fix_sketchpad","count_fixation","count_fixation_inline_script","count_fixation_pygaze_log","count_fixation_script","count_fixation_sketchpad","count_getting_started","count_image_loop","count_image_stimulus","count_initial_fixation","count_new_1_inline_script","count_new_1_loop","count_new_1_pygaze_log","count_new_1_sketchpad","count_new_2_inline_script","count_new_2_loop","count_new_2_pygaze_log","count_new_3_inline_script","count_new_3_loop","count_new_4_inline_script","count_new_4_loop","count_new_inline_script","count_new_logger","count_new_loop","count_new_pygaze_init","count_new_pygaze_log","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sequence","count_position_loop","count_shuffle_to_csv","count_welcome","d","datetime","description","disable_garbage_collection","experiment_file","experiment_path","file_path","filename","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","i","keyboard_backend","live_row","live_row_position_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","picture1","picture2","repeat_cycle","response","response_end_sketchpad","response_time","response_time_end_sketchpad","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","stimulus1","stimulus2","subject_nr","subject_parity","t0","time_end_sketchpad","time_experiment","time_fix_sketchpad","time_fixation","time_fixation_inline_script","time_fixation_pygaze_log","time_fixation_script","time_fixation_sketchpad","time_getting_started","time_image_loop","time_image_stimulus","time_initial_fixation","time_new_1_inline_script","time_new_1_loop","time_new_1_pygaze_log","time_new_1_sketchpad","time_new_2_inline_script","time_new_2_loop","time_new_2_pygaze_log","time_new_3_inline_script","time_new_3_loop","time_new_4_inline_script","time_new_4_loop","time_new_inline_script","time_new_logger","time_new_loop","time_new_pygaze_init","time_new_pygaze_log","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sequence","time_position_loop","time_shuffle_to_csv","time_welcome","title","total_correct","total_response_time","total_responses","width","x1_cor","x2_cor","y1_cor","y2_cor"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","0","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","40.94722678961298","Fri Jun 21 13:32:00 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","0","0","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/simon-1.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","spaceb","NA","1439.0","NA","1439","spaceb","2","legacy","1024","2","48000","-16","experiment","NA","017.png","002.png","1","odd","115787.0","NA","62086","119686","116613","NA","116613","115787","NA","NA","NA","116638","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","119786","NA","63599","119639","115112","NA","115786","115660","62154","62160","Left-Bias-Elimination","0","0","0","1920","160","-160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","1","1","NA","1","1","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","0","1","0","0","1","0","0","0","99.77358283152905","Fri Jun 21 13:32:00 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","1","1","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/simon-1.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","spaceb","NA","1439.0","NA","1439","spaceb","2","legacy","1024","2","48000","-16","experiment","NA","011.png","007.png","1","odd","119896.0","NA","62086","123016","119998","NA","119999","119896","NA","NA","NA","120009","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","123116","NA","63599","123009","115112","NA","119879","115660","62154","62160","Left-Bias-Elimination","0","0","0","1920","0","0","320","-320"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","2","2","NA","2","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","0","2","0","0","2","0","0","0","56.62935459282584","Fri Jun 21 13:32:00 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","2","2","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/simon-1.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","spaceb","NA","1439.0","NA","1439","spaceb","2","legacy","1024","2","48000","-16","experiment","NA","002.png","003.png","1","odd","123220.0","NA","62086","126237","123223","NA","123223","123220","NA","NA","NA","123230","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","126337","NA","63599","126230","115112","NA","123208","115660","62154","62160","Left-Bias-Elimination","0","0","0","1920","0","0","320","-320"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","3","3","NA","3","3","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","0","3","0","0","3","0","0","0","69.95911594638683","Fri Jun 21 13:32:00 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","3","3","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/simon-1.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","spaceb","NA","1439.0","NA","1439","spaceb","2","legacy","1024","2","48000","-16","experiment","NA","004.png","017.png","1","odd","126416.0","NA","62086","129876","126854","NA","126854","126416","NA","NA","NA","126865","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","129976","NA","63599","129865","115112","NA","126401","115660","62154","62160","Left-Bias-Elimination","0","0","0","1920","277","-277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","4","4","NA","4","4","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","0","4","0","0","4","0","0","0","97.08242655805427","Fri Jun 21 13:32:00 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","4","4","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/simon-1.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","spaceb","NA","1439.0","NA","1439","spaceb","2","legacy","1024","2","48000","-16","experiment","NA","020.png","001.png","1","odd","130074.0","NA","62086","133628","130613","NA","130613","130074","NA","NA","NA","130622","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","133728","NA","63599","133622","115112","NA","130068","115660","62154","62160","Left-Bias-Elimination","0","0","0","1920","160","-160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","5","5","NA","5","5","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","0","5","0","0","5","0","0","0","80.83499655965855","Fri Jun 21 13:32:00 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","5","5","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/simon-1.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","spaceb","NA","1439.0","NA","1439","spaceb","2","legacy","1024","2","48000","-16","experiment","NA","000.png","014.png","1","odd","133839.0","NA","62086","137049","134030","NA","134030","133839","NA","NA","NA","134042","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","137149","NA","63599","137042","115112","NA","133831","115660","62154","62160","Left-Bias-Elimination","0","0","0","1920","-320","320","0","0"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","6","6","NA","6","6","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","0","6","0","0","6","0","0","0","32.428888121549875","Fri Jun 21 13:32:00 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","6","6","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/simon-1.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","spaceb","NA","1439.0","NA","1439","spaceb","2","legacy","1024","2","48000","-16","experiment","NA","015.png","015.png","1","odd","137230.0","NA","62086","140509","137489","NA","137489","137230","NA","NA","NA","137499","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","140609","NA","63599","140499","115112","NA","137223","115660","62154","62160","Left-Bias-Elimination","0","0","0","1920","-320","320","0","0"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","7","7","NA","7","7","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","0","7","0","0","7","0","0","0","74.5664036391725","Fri Jun 21 13:32:00 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","7","7","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/simon-1.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","spaceb","NA","1439.0","NA","1439","spaceb","2","legacy","1024","2","48000","-16","experiment","NA","009.png","013.png","1","odd","140699.0","NA","62086","144134","141118","NA","141118","140699","NA","NA","NA","141128","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","144234","NA","63599","144128","115112","NA","140694","115660","62154","62160","Left-Bias-Elimination","0","0","0","1920","-277","277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","8","8","NA","8","8","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","0","8","0","0","8","0","0","0","83.03270603804252","Fri Jun 21 13:32:00 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","8","8","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/simon-1.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","spaceb","NA","1439.0","NA","1439","spaceb","2","legacy","1024","2","48000","-16","experiment","NA","001.png","016.png","1","odd","144331.0","NA","62086","147443","144423","NA","144423","144331","NA","NA","NA","144436","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","147543","NA","63599","147436","115112","NA","144317","115660","62154","62160","Left-Bias-Elimination","0","0","0","1920","-277","277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","9","9","NA","9","9","NA","NA","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","NA","0","9","0","0","9","0","0","0","84.67527884807939","Fri Jun 21 13:32:00 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmp7tlmtmye.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","9","9","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/simon-1.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","spaceb","NA","1439.0","NA","1439","spaceb","2","legacy","1024","2","48000","-16","experiment","NA","010.png","009.png","1","odd","147666.0","NA","62086","151036","148016","NA","148016","147666","NA","NA","NA","148027","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","151136","NA","63599","151028","115112","NA","147665","115660","62154","62160","Left-Bias-Elimination","0","0","0","1920","-160","160","-277","277"
