CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
65934	1068.35962	93211787875	0.19655	0.13338	1067.72864	0.50146	1565	0	0.48124	0.30228	0	0.39309	0.26677	1	0.39309	0.26677	1	0.47611	0.18765	21.65228	1.04893	0	0.47611	0.18765	21.65228	1.04893	1	-0.00528	0.05790	0.62359	0.00422	1	-0.00512	0.05700	0.60994	0.00412	1	-0.47188	0.47963	0	0
65935	1068.37573	93211948921	0.26206	0.17784	1067.72864	0.50146	1565	0	0.48124	0.30228	0	0.39309	0.26677	1	0.39309	0.26677	1	0.47611	0.18765	21.65228	1.04893	0	0.47630	0.18760	21.25409	1.04893	1	-0.00528	0.05790	0.62359	0.00422	1	-0.00503	0.05663	0.60990	0.00414	1	-0.47188	0.47963	0	
65936	1068.39197	93212110756	0.41427	0.25817	1067.72864	0.50146	1565	0	0.47099	0.23525	1	0.44225	0.24668	1	0.45662	0.24096	1	0.47694	0.18759	21.51442	1.04893	1	0.74604	0.19478	23.10583	1.04893	1	-0.00528	0.05790	0.62359	0.00409	1	-0.00503	0.05663	0.60990	0.00464	1	-0.47188	0.47963	0	START_TRIAL
65937	1068.40808	93212272555	0.43754	0.24819	1067.72864	0.50146	1565	0	0.46652	0.22441	1	0.45511	0.25202	1	0.46081	0.23822	1	0.47719	0.18768	21.54168	1.04893	1	0.74631	0.19480	23.02210	1.04893	1	-0.00528	0.05790	0.62359	0.00410	1	-0.00503	0.05663	0.60990	0.00464	1	-0.47188	0.47963	0	
65938	1068.42456	93212437218	0.44546	0.24683	1067.72864	0.50146	1565	0	0.46716	0.23044	1	0.45545	0.25779	1	0.46130	0.24411	1	0.47735	0.18746	21.46626	1.04231	1	0.74638	0.19494	23.21359	1.04231	1	-0.00481	0.05622	0.60549	0.00410	1	0.05860	0.05570	0.61634	0.00464	1	-0.47188	0.47963	0	
65939	1068.44043	93212596389	0.44503	0.24887	1068.39197	0.04846	1566	1	0.46171	0.23276	1	0.42578	0.27720	1	0.44375	0.25498	1	0.47761	0.18755	21.87813	1.03570	1	0.74673	0.19520	23.59688	1.03570	1	-0.00481	0.05622	0.60549	0.00405	1	0.05860	0.05570	0.61634	0.00461	1	-0.47188	0.47963	0	
65940	1068.45667	93212757848	0.44595	0.25394	1068.39197	0.06470	1566	1	0.46712	0.24957	1	0.43210	0.29887	1	0.44961	0.27422	1	0.47757	0.18746	21.62492	1.02908	1	0.74679	0.19526	23.61485	1.02908	1	-0.00481	0.05622	0.60549	0.00405	1	0.05860	0.05570	0.61634	0.00461	1	-0.47188	0.47963	0	
65941	1068.47278	93212919696	0.44669	0.25872	1068.39197	0.08081	1566	1	0.46778	0.25555	1	0.43301	0.30968	1	0.45039	0.28261	1	0.47753	0.18753	21.65343	1.02247	1	0.74688	0.19533	23.65901	1.01628	1	-0.00481	0.05622	0.60549	0.00407	1	0.05659	0.05366	0.59476	0.00457	1	-0.47188	0.47963	0	
65942	1068.48889	93213080270	0.44648	0.25921	1068.39197	0.09692	1566	1	0.45030	0.22955	1	0.44022	0.29481	1	0.44526	0.26218	1	0.47766	0.18767	21.54114	1.01628	1	0.74691	0.19548	23.06109	1.01010	1	-0.00481	0.05622	0.60549	0.00411	1	0.05659	0.05366	0.59476	0.00464	1	-0.47188	0.47963	0	
65943	1068.50525	93213244115	0.44684	0.25916	1068.39197	0.11328	1566	1	0.45232	0.25084	1	0.44632	0.26681	1	0.44932	0.25882	1	0.47765	0.18800	21.83587	1.01010	1	0.74691	0.19552	22.98214	1.00392	1	-0.00481	0.05622	0.60549	0.00415	1	0.05659	0.05366	0.59476	0.00471	1	-0.47188	0.47963	0	
