CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
24044	389.99109	86428102589	0.00000	0.00000	389.55438	0.25848	562	0	0.44081	0.32202	0	0.44725	0.36525	0	0.44403	0.34364	0	0.37068	0.37392	25.79539	1.01270	0	0.67042	0.36770	27.11577	1.01270	0	-0.02829	0.02053	0.57871	0.00486	1	0.03819	0.02135	0.57628	0.00527	1	-0.47656	0.52778	0	START_TRIAL
24045	390.00714	86428262893	0.00000	0.00000	389.55438	0.25848	562	0	0.44081	0.32202	0	0.44725	0.36525	0	0.44403	0.34364	0	0.37068	0.37392	25.79539	1.01270	0	0.67042	0.36770	27.11577	1.01270	0	-0.02829	0.02053	0.57871	0.00486	1	0.03819	0.02135	0.57628	0.00527	1	-0.47656	0.52778	0	
24046	390.02353	86428426762	0.50845	0.34283	389.55438	0.25848	562	0	0.50078	0.32893	1	0.51612	0.35674	1	0.50845	0.34283	1	0.37264	0.37289	26.13860	1.01270	1	0.67289	0.36656	28.19688	1.01270	1	-0.02829	0.02053	0.57871	0.00501	1	0.03819	0.02135	0.57628	0.00527	1	-0.47656	0.52778	0	
24047	390.03931	86428584772	0.51052	0.34350	389.55438	0.25848	562	0	0.51642	0.33063	1	0.50877	0.35772	1	0.51259	0.34418	1	0.37238	0.37292	26.26594	1.01270	1	0.67274	0.36649	28.23885	1.01270	1	-0.02829	0.02053	0.57871	0.00503	1	0.03819	0.02135	0.57628	0.00525	1	-0.47656	0.52778	0	
24048	390.05557	86428747409	0.51120	0.34290	389.55438	0.25848	562	0	0.51642	0.33063	1	0.50872	0.35274	1	0.51257	0.34168	1	0.37231	0.37295	26.22161	1.01270	1	0.67269	0.36652	28.29434	1.01875	1	-0.02823	0.02045	0.57761	0.00502	1	0.03933	0.02200	0.59138	0.00526	1	-0.47656	0.52778	0	
24049	390.07169	86428908396	0.51210	0.34148	390.02353	0.04816	563	1	0.51879	0.33508	1	0.51077	0.33940	1	0.51478	0.33724	1	0.37211	0.37318	26.80982	1.01875	1	0.67241	0.36652	27.94206	1.02479	1	-0.02823	0.02045	0.57761	0.00496	1	0.03933	0.02200	0.59138	0.00529	1	-0.47656	0.52778	0	
24050	390.08801	86429071686	0.51174	0.33955	390.02353	0.06448	563	1	0.51227	0.32911	1	0.50833	0.33449	1	0.51030	0.33180	1	0.37207	0.37321	26.78673	1.02479	1	0.67231	0.36650	27.96348	1.03083	1	-0.02823	0.02045	0.57761	0.00496	1	0.03933	0.02200	0.59138	0.00532	1	-0.47656	0.52778	0	
24051	390.10400	86429231656	0.51145	0.33701	390.02353	0.08047	563	1	0.51173	0.31916	1	0.50829	0.32948	1	0.51001	0.32432	1	0.37200	0.37325	26.89762	1.03685	1	0.67230	0.36647	28.21497	1.03685	1	-0.02853	0.02063	0.58278	0.00495	1	0.03819	0.02144	0.57628	0.00529	1	-0.47656	0.52778	0	
24052	390.12051	86429396590	0.51273	0.33506	390.02353	0.09698	563	1	0.52236	0.31723	1	0.51850	0.32957	1	0.52043	0.32340	1	0.37181	0.37326	26.79919	1.04286	1	0.67209	0.36641	27.78074	1.03682	1	-0.02853	0.02063	0.58278	0.00498	1	0.03819	0.02144	0.57628	0.00531	1	-0.47656	0.52778	0	
24053	390.13638	86429555447	0.51311	0.33322	390.02353	0.11285	563	1	0.52049	0.31539	1	0.51100	0.32528	1	0.51575	0.32034	1	0.37176	0.37321	26.87752	1.04283	1	0.67193	0.36630	27.69560	1.03679	1	-0.02853	0.02063	0.58278	0.00501	1	0.03819	0.02144	0.57628	0.00533	1	-0.47656	0.52778	0	
24054	390.15256	86429717151	0.51342	0.33235	390.02353	0.12903	563	1	0.52071	0.32037	1	0.51104	0.33034	1	0.51588	0.32536	1	0.37166	0.37317	26.75341	1.03679	1	0.67198	0.36628	27.63475	1.03074	1	-0.02793	0.02016	0.56963	0.00501	1	0.03819	0.02152	0.57628	0.00533	1	-0.47656	0.52778	0	
24055	390.16876	86429879059	0.51391	0.33185	390.02353	0.14523	563	1	0.51130	0.32550	1	0.52546	0.32917	1	0.51838	0.32733	1	0.37161	0.37303	26.68926	1.02473	1	0.67190	0.36605	27.83521	1.02473	1	-0.02793	0.02016	0.56963	0.00499	1	0.03819	0.02152	0.57628	0.00533	1	-0.47656	0.52778	0	
24056	390.18491	86430040623	0.51439	0.33205	390.02353	0.16138	563	1	0.51296	0.33258	1	0.52538	0.33557	1	0.51917	0.33407	1	0.37161	0.37302	26.72741	1.01872	1	0.67189	0.36604	27.83147	1.01872	1	-0.02793	0.02016	0.56963	0.00504	1	0.03819	0.02152	0.57628	0.00533	1	-0.47656	0.52778	0	
24057	390.20117	86430203296	0.51480	0.33264	390.02353	0.17764	563	1	0.51323	0.33755	1	0.52535	0.34063	1	0.51929	0.33909	1	0.37166	0.37305	26.85258	1.01271	1	0.67190	0.36606	27.85218	1.01271	1	-0.02793	0.02016	0.56963	0.00504	1	0.03819	0.02152	0.57628	0.00533	1	-0.47656	0.52778	0	
24058	390.21768	86430368450	0.51501	0.33344	390.02353	0.19415	563	1	0.51168	0.34143	1	0.52333	0.34465	1	0.51750	0.34304	1	0.37192	0.37318	26.80667	1.01271	1	0.67223	0.36644	28.42330	1.01271	1	-0.02793	0.02016	0.56963	0.00505	1	0.03819	0.02152	0.57628	0.00535	1	-0.47656	0.52778	0	
24059	390.23346	86430526266	0.51502	0.33359	390.02353	0.20993	563	1	0.50897	0.31327	1	0.52137	0.35791	1	0.51517	0.33559	1	0.37228	0.37316	27.09704	1.01271	1	0.67252	0.36647	28.45711	1.01271	1	-0.02793	0.02016	0.56963	0.00504	1	0.03819	0.02152	0.57628	0.00541	1	-0.47656	0.52778	0	
24060	390.24960	86430687617	0.51503	0.33372	390.02353	0.22607	563	1	0.50897	0.31327	1	0.52137	0.35791	1	0.51517	0.33559	1	0.37225	0.37319	27.03234	1.01271	1	0.67263	0.36666	28.50334	1.01271	1	-0.02806	0.02039	0.57590	0.00508	1	0.03885	0.02167	0.58358	0.00537	1	-0.47656	0.52778	0	
24061	390.26584	86430849897	0.51545	0.33403	390.02353	0.24231	563	1	0.52270	0.38218	1	0.52089	0.29511	1	0.52180	0.33865	1	0.37254	0.37302	26.92368	1.01271	1	0.67286	0.36673	28.58981	1.01271	1	-0.02806	0.02039	0.57590	0.00503	1	0.03885	0.02167	0.58358	0.00539	1	-0.47656	0.52778	0	
24062	390.28195	86431011209	0.51576	0.33330	390.02353	0.25842	563	1	0.51178	0.34121	1	0.52962	0.30201	1	0.52070	0.32161	1	0.37232	0.37314	26.98948	1.01271	1	0.67268	0.36669	28.37890	1.01271	1	-0.02806	0.02039	0.57590	0.00508	1	0.03885	0.02167	0.58358	0.00540	1	-0.47656	0.52778	0	
24063	390.29816	86431173010	0.51603	0.33237	390.02353	0.27463	563	1	0.51150	0.33625	1	0.52968	0.29672	1	0.52059	0.31649	1	0.37228	0.37320	27.12574	1.01872	1	0.67271	0.36670	28.49031	1.01872	1	-0.02853	0.02063	0.58278	0.00505	1	0.03819	0.02139	0.57628	0.00538	1	-0.47656	0.52778	0	
24064	390.31433	86431334751	0.51601	0.33075	390.02353	0.29080	563	1	0.51852	0.31158	1	0.51275	0.29165	1	0.51563	0.30161	1	0.37174	0.37340	27.16951	1.02473	1	0.67194	0.36666	28.24468	1.02473	1	-0.02853	0.02063	0.58278	0.00504	1	0.03819	0.02139	0.57628	0.00537	1	-0.47656	0.52778	0	
24065	390.33066	86431498134	0.51598	0.32949	390.02353	0.30713	563	1	0.50769	0.30298	1	0.52310	0.30805	1	0.51539	0.30551	1	0.37153	0.37334	27.17808	1.03074	1	0.67186	0.36667	28.41153	1.03074	1	-0.02853	0.02063	0.58278	0.00504	1	0.03819	0.02139	0.57628	0.00538	1	-0.47656	0.52778	0	
24066	390.34671	86431658589	0.51595	0.32822	390.02353	0.32318	563	1	0.50769	0.30298	1	0.52312	0.30286	1	0.51541	0.30292	1	0.37144	0.37324	26.80529	1.03074	1	0.67184	0.36665	28.37253	1.03679	1	-0.02844	0.02042	0.57817	0.00505	1	0.03838	0.02157	0.57971	0.00535	1	-0.47656	0.52778	0	
24067	390.36276	86431819275	0.51612	0.32773	390.02353	0.33923	563	1	0.52379	0.30205	1	0.51541	0.33289	1	0.51960	0.31747	1	0.37140	0.37338	26.90646	1.03077	1	0.67172	0.36660	28.28963	1.03682	1	-0.02844	0.02042	0.57817	0.00502	1	0.03838	0.02157	0.57971	0.00529	1	-0.47656	0.52778	0	
24068	390.37903	86431981825	0.51633	0.32723	390.02353	0.35550	563	1	0.52611	0.30342	1	0.51617	0.32915	1	0.52114	0.31628	1	0.37134	0.37332	26.83574	1.03080	1	0.67172	0.36661	28.30613	1.03685	1	-0.02844	0.02042	0.57817	0.00501	1	0.03838	0.02157	0.57971	0.00529	1	-0.47656	0.52778	0	
24069	390.39520	86432143703	0.51654	0.32678	390.02353	0.37167	563	1	0.52611	0.30340	1	0.51617	0.32912	1	0.52114	0.31626	1	0.37131	0.37330	26.80854	1.03083	1	0.67167	0.36654	28.12401	1.03688	1	-0.02846	0.02048	0.57858	0.00500	1	0.03836	0.02160	0.57941	0.00533	1	-0.47656	0.52778	0	
24070	390.41132	86432304773	0.51700	0.32713	390.02353	0.38779	563	1	0.53120	0.35010	1	0.52529	0.32100	1	0.52825	0.33555	1	0.37111	0.37303	26.26303	1.03688	1	0.67150	0.36627	27.85132	1.03688	1	-0.02846	0.02048	0.57858	0.00501	1	0.03836	0.02160	0.57941	0.00531	1	-0.47656	0.52778	0	
24071	390.42755	86432467245	0.51689	0.32665	390.02353	0.40402	563	1	0.51637	0.31496	1	0.51158	0.31447	1	0.51397	0.31471	1	0.37088	0.37314	26.39404	1.03688	1	0.67118	0.36626	27.60320	1.03688	1	-0.02846	0.02048	0.57858	0.00503	1	0.03836	0.02160	0.57941	0.00530	1	-0.47656	0.52778	0	
24072	390.44446	86432636088	0.51677	0.32602	390.02353	0.42093	563	1	0.51612	0.30997	1	0.51155	0.30937	1	0.51383	0.30967	1	0.37080	0.37311	26.24813	1.04289	1	0.67117	0.36615	27.40069	1.04289	1	-0.02958	0.02120	0.59874	0.00503	1	0.03941	0.02233	0.59794	0.00531	1	-0.47656	0.52778	0	
24073	390.45987	86432790252	0.51658	0.32481	390.02353	0.43634	563	1	0.51733	0.27870	1	0.50538	0.30528	1	0.51135	0.29199	1	0.37050	0.37317	26.20713	1.04890	1	0.67086	0.36608	27.54249	1.04890	1	-0.02958	0.02120	0.59874	0.00501	1	0.03941	0.02233	0.59794	0.00525	1	-0.47656	0.52778	0	
24074	390.47607	86432952309	0.51633	0.32416	390.02353	0.45255	563	1	0.51356	0.31342	1	0.50527	0.29876	1	0.50941	0.30609	1	0.37048	0.37315	26.16633	1.05491	1	0.67082	0.36609	27.59107	1.05491	1	-0.02958	0.02120	0.59874	0.00500	1	0.03941	0.02233	0.59794	0.00529	1	-0.47656	0.52778	0	
