"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","central_fixation","clock_backend","color_backend","correct","correct_welcome","count_end_sketchpad","count_experiment","count_fix_sketchpad","count_fix_sketchpad02","count_fixation","count_fixation02","count_fixation_inline_script","count_fixation_pygaze_log","count_fixation_script","count_fixation_script02","count_fixation_sketchpad","count_getting_started","count_image_loop","count_image_stimulus","count_image_stimulus02","count_initial_fixation","count_logger","count_logger02","count_logging_delay","count_new_1_inline_script","count_new_1_loop","count_new_1_pygaze_log","count_new_1_sketchpad","count_new_2_inline_script","count_new_2_loop","count_new_2_pygaze_log","count_new_3_inline_script","count_new_3_loop","count_new_4_inline_script","count_new_4_loop","count_new_inline_script","count_new_loop","count_new_pygaze_init","count_new_pygaze_log","count_new_sequence","count_new_sequence02","count_position_loop","count_position_loop02","count_pygaze_log_fix02","count_pygaze_log_fixstim02","count_pygaze_start_recording","count_pygaze_start_recording02","count_pygaze_stop_recording","count_pygaze_stop_recording02","count_shuffle_to_csv","count_shuffle_to_csv02","count_start_pygaze_log","count_stop_pygaze_log","count_welcome","d","datetime","delay_logging_delay","description","disable_garbage_collection","experiment_file","experiment_path","file_path","filename","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","i","keyboard_backend","live_row","live_row_position_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","picture1","picture2","repeat_cycle","response","response_end_sketchpad","response_time","response_time_end_sketchpad","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","stimulus1","stimulus2","subject_nr","subject_parity","t0","time_end_sketchpad","time_experiment","time_fix_sketchpad","time_fix_sketchpad02","time_fixation","time_fixation02","time_fixation_inline_script","time_fixation_pygaze_log","time_fixation_script","time_fixation_script02","time_fixation_sketchpad","time_getting_started","time_image_loop","time_image_stimulus","time_image_stimulus02","time_initial_fixation","time_logger","time_logger02","time_logging_delay","time_new_1_inline_script","time_new_1_loop","time_new_1_pygaze_log","time_new_1_sketchpad","time_new_2_inline_script","time_new_2_loop","time_new_2_pygaze_log","time_new_3_inline_script","time_new_3_loop","time_new_4_inline_script","time_new_4_loop","time_new_inline_script","time_new_loop","time_new_pygaze_init","time_new_pygaze_log","time_new_sequence","time_new_sequence02","time_position_loop","time_position_loop02","time_pygaze_log_fix02","time_pygaze_log_fixstim02","time_pygaze_start_recording","time_pygaze_start_recording02","time_pygaze_stop_recording","time_pygaze_stop_recording02","time_shuffle_to_csv","time_shuffle_to_csv02","time_start_pygaze_log","time_stop_pygaze_log","time_welcome","title","total_correct","total_response_time","total_responses","width","x1_cor","x2_cor","y1_cor","y2_cor"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","0","NA","0","NA","NA","0","0","NA","NA","NA","NA","0","NA","NA","0","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","NA","0","0","NA","NA","0","NA","0","NA","0","0","NA","0","0","90.46016110089573","Mon Jun 17 13:19:23 2024","500","The main experiment item","False","04 Milestone_FullExperiment_V2.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmp0zxd9mor.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","0","0","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/subject-Claudius.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","1275.0","NA","1275","space","2","legacy","1024","2","48000","-16","experiment","NA","004.png","004.png","2","even","15123.0","NA","809","18428","NA","15299","NA","NA","15299","15123","NA","NA","NA","NA","15388","NA","NA","18528","NA","14623","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2095","18388","10166","NA","10089","NA","NA","NA","10166","NA","NA","NA","813","NA","NA","NA","819","Left-Bias-Elimination","0","0","0","1920","277","-277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","1","NA","1","NA","NA","1","1","NA","NA","NA","NA","1","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","1","1","NA","0","0","NA","NA","1","NA","1","NA","0","0","NA","1","0","38.29000904256879","Mon Jun 17 13:19:23 2024","500","The main experiment item","False","04 Milestone_FullExperiment_V2.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmp0zxd9mor.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","1","1","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/subject-Claudius.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","1275.0","NA","1275","space","2","legacy","1024","2","48000","-16","experiment","NA","007.png","001.png","2","even","19209.0","NA","809","25059","NA","22020","NA","NA","22020","19209","NA","NA","NA","NA","22053","NA","NA","25159","NA","18709","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2095","25053","18704","NA","10089","NA","NA","NA","18704","NA","18574","NA","813","NA","NA","18538","819","Left-Bias-Elimination","0","0","0","1920","277","-277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","2","NA","2","NA","NA","2","2","NA","NA","NA","NA","2","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","2","2","NA","0","0","NA","NA","2","NA","2","NA","0","0","NA","2","0","70.6394682392217","Mon Jun 17 13:19:23 2024","500","The main experiment item","False","04 Milestone_FullExperiment_V2.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmp0zxd9mor.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","2","2","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/subject-Claudius.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","1275.0","NA","1275","space","2","legacy","1024","2","48000","-16","experiment","NA","011.png","007.png","2","even","25768.0","NA","809","31145","NA","28080","NA","NA","28080","25768","NA","NA","NA","NA","28137","NA","NA","31245","NA","25268","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2095","31137","25263","NA","10089","NA","NA","NA","25263","NA","25176","NA","813","NA","NA","25171","819","Left-Bias-Elimination","0","0","0","1920","0","0","320","-320"
"undefined","undefined","undefined","undefined","#3d3846","legacy","False","legacy","legacy","undefined","undefined","0","0","3","NA","3","NA","NA","3","3","NA","NA","NA","NA","3","NA","NA","3","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","3","3","NA","0","0","NA","NA","3","NA","3","NA","0","0","NA","3","0","353.9047153525932","Mon Jun 17 13:19:23 2024","500","The main experiment item","False","04 Milestone_FullExperiment_V2.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmp0zxd9mor.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","3","3","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/subject-Claudius.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","1275.0","NA","1275","space","2","legacy","1024","2","48000","-16","experiment","NA","003.png","002.png","2","even","31865.0","NA","809","46413","NA","36868","NA","NA","36868","31865","NA","NA","NA","NA","43406","NA","NA","46513","NA","31365","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2095","46406","31360","NA","10089","NA","NA","NA","31360","NA","31261","NA","813","NA","NA","31257","819","Left-Bias-Elimination","0","0","0","1920","-160","160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","4","NA","4","NA","NA","4","4","NA","NA","NA","NA","4","NA","NA","4","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","4","4","NA","0","0","NA","NA","4","NA","4","NA","0","0","NA","4","0","33.42038055079559","Mon Jun 17 13:19:23 2024","500","The main experiment item","False","04 Milestone_FullExperiment_V2.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmp0zxd9mor.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","4","4","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/subject-Claudius.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","1275.0","NA","1275","space","2","legacy","1024","2","48000","-16","experiment","NA","001.png","003.png","2","even","47109.0","NA","809","68132","NA","47113","NA","NA","47113","47109","NA","NA","NA","NA","65126","NA","NA","68232","NA","46609","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2095","68126","46604","NA","10089","NA","NA","NA","46604","NA","46519","NA","813","NA","NA","46515","819","Left-Bias-Elimination","0","0","0","1920","160","-160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","5","NA","5","NA","NA","5","5","NA","NA","NA","NA","5","NA","NA","5","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","5","5","NA","0","0","NA","NA","5","NA","5","NA","0","0","NA","5","0","33.42038055079559","Mon Jun 17 13:19:23 2024","500","The main experiment item","False","04 Milestone_FullExperiment_V2.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmp0zxd9mor.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","5","5","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/subject-Claudius.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","1275.0","NA","1275","space","2","legacy","1024","2","48000","-16","experiment","NA","010.png","000.png","2","even","68856.0","NA","809","81652","NA","68861","NA","NA","68861","68856","NA","NA","NA","NA","78646","NA","NA","81752","NA","68356","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2095","81646","68351","NA","10089","NA","NA","NA","68351","NA","68249","NA","813","NA","NA","68245","819","Left-Bias-Elimination","0","0","0","1920","160","-160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","False","legacy","legacy","undefined","undefined","0","0","6","NA","6","NA","NA","6","6","NA","NA","NA","NA","6","NA","NA","6","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","6","6","NA","0","0","NA","NA","6","NA","6","NA","0","0","NA","6","0","275.92581984961095","Mon Jun 17 13:19:23 2024","500","The main experiment item","False","04 Milestone_FullExperiment_V2.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmp0zxd9mor.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","6","6","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/subject-Claudius.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","1275.0","NA","1275","space","2","legacy","1024","2","48000","-16","experiment","NA","000.png","008.png","2","even","82382.0","NA","809","102945","NA","87385","NA","NA","87385","82382","NA","NA","NA","NA","99939","NA","NA","103045","NA","81882","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2095","102939","81877","NA","10089","NA","NA","NA","81877","NA","81768","NA","813","NA","NA","81764","819","Left-Bias-Elimination","0","0","0","1920","-277","277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","False","legacy","legacy","undefined","undefined","0","0","7","NA","7","NA","NA","7","7","NA","NA","NA","NA","7","NA","NA","7","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","7","7","NA","0","0","NA","NA","7","NA","7","NA","0","0","NA","7","0","271.40777828912707","Mon Jun 17 13:19:23 2024","500","The main experiment item","False","04 Milestone_FullExperiment_V2.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmp0zxd9mor.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","7","7","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/subject-Claudius.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","1275.0","NA","1275","space","2","legacy","1024","2","48000","-16","experiment","NA","005.png","005.png","2","even","103666.0","NA","809","119275","NA","108669","NA","NA","108669","103666","NA","NA","NA","NA","116263","NA","NA","119375","NA","103166","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2095","119263","103161","NA","10089","NA","NA","NA","103161","NA","103061","NA","813","NA","NA","103056","819","Left-Bias-Elimination","0","0","0","1920","-320","320","0","0"
"undefined","undefined","undefined","undefined","#3d3846","legacy","False","legacy","legacy","undefined","undefined","0","0","8","NA","8","NA","NA","8","8","NA","NA","NA","NA","8","NA","NA","8","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","8","8","NA","0","0","NA","NA","8","NA","8","NA","0","0","NA","8","0","354.01780820292066","Mon Jun 17 13:19:23 2024","500","The main experiment item","False","04 Milestone_FullExperiment_V2.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmp0zxd9mor.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","8","8","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/subject-Claudius.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","1275.0","NA","1275","space","2","legacy","1024","2","48000","-16","experiment","NA","002.png","010.png","2","even","119988.0","NA","809","133541","NA","124991","NA","NA","124991","119988","NA","NA","NA","NA","130535","NA","NA","133642","NA","119488","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2095","133535","119484","NA","10089","NA","NA","NA","119484","NA","119381","NA","813","NA","NA","119376","819","Left-Bias-Elimination","0","0","0","1920","-277","277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","9","NA","9","NA","NA","9","9","NA","NA","NA","NA","9","NA","NA","9","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","9","9","NA","0","0","NA","NA","9","NA","9","NA","0","0","NA","9","0","59.4305987127844","Mon Jun 17 13:19:23 2024","500","The main experiment item","False","04 Milestone_FullExperiment_V2.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmp0zxd9mor.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","9","9","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/subject-Claudius.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","1275.0","NA","1275","space","2","legacy","1024","2","48000","-16","experiment","NA","008.png","009.png","2","even","134259.0","NA","809","138780","NA","134262","NA","NA","134262","134259","NA","NA","NA","NA","135774","NA","NA","138880","NA","133758","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2095","138774","133754","NA","10089","NA","NA","NA","133754","NA","133658","NA","813","NA","NA","133653","819","Left-Bias-Elimination","0","0","0","1920","-320","320","0","0"
