"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","central_fixation","clock_backend","color_backend","correct","correct_welcome","count_end_sketchpad","count_experiment","count_fix_sketchpad","count_fixation","count_fixation_inline_script","count_fixation_pygaze_log","count_fixation_script","count_fixation_sketchpad","count_fixationstimulus_pygaze_log","count_getting_started","count_image_loop","count_image_stimulus","count_initial_fixation","count_logger","count_new_1_inline_script","count_new_1_loop","count_new_1_pygaze_log","count_new_1_sketchpad","count_new_2_inline_script","count_new_2_loop","count_new_2_pygaze_log","count_new_3_inline_script","count_new_3_loop","count_new_4_inline_script","count_new_4_loop","count_new_inline_script","count_new_loop","count_new_sequence","count_position_loop","count_pygaze_init","count_pygaze_start_recording","count_pygaze_stop_recording","count_shuffle_to_csv","count_start_pygaze_log","count_stop_pygaze_log","count_welcome","d","datetime","description","disable_garbage_collection","experiment_file","experiment_path","file_path","filename","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","i","keyboard_backend","live_row","live_row_position_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","picture1","picture2","repeat_cycle","response","response_end_sketchpad","response_time","response_time_end_sketchpad","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","stimulus1","stimulus2","subject_nr","subject_parity","t0","time_end_sketchpad","time_experiment","time_fix_sketchpad","time_fixation","time_fixation_inline_script","time_fixation_pygaze_log","time_fixation_script","time_fixation_sketchpad","time_fixationstimulus_pygaze_log","time_getting_started","time_image_loop","time_image_stimulus","time_initial_fixation","time_logger","time_new_1_inline_script","time_new_1_loop","time_new_1_pygaze_log","time_new_1_sketchpad","time_new_2_inline_script","time_new_2_loop","time_new_2_pygaze_log","time_new_3_inline_script","time_new_3_loop","time_new_4_inline_script","time_new_4_loop","time_new_inline_script","time_new_loop","time_new_sequence","time_position_loop","time_pygaze_init","time_pygaze_start_recording","time_pygaze_stop_recording","time_shuffle_to_csv","time_start_pygaze_log","time_stop_pygaze_log","time_welcome","title","total_correct","total_response_time","total_responses","width","x1_cor","x2_cor","y1_cor","y2_cor"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","0","0","NA","0","0","NA","0","NA","NA","0","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","20.12389856861726","Mon Jun 24 16:07:45 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","0","0","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/Patrick.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","3790.0","NA","3790","space","2","legacy","1024","2","48000","-16","experiment","NA","011.png","004.png","0","even","2655974.0","NA","2593571","2660542","2657476","NA","2660514","2655974","NA","2657476","NA","NA","2657514","NA","2660677","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2655425","2655354","2597369","2654586","NA","2593573","2655426","2660643","2593578","Left-Bias-Elimination","0","0","0","1920","-320","320","0","0"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","1","1","NA","1","1","NA","1","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","0","0","0","0","0","1","1","0","21.626394673176563","Mon Jun 24 16:07:45 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","1","1","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/Patrick.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","3790.0","NA","3790","space","2","legacy","1024","2","48000","-16","experiment","NA","015.png","013.png","0","even","2661243.0","NA","2593571","2665919","2662901","NA","2665912","2661243","NA","2662901","NA","NA","2662912","NA","2666023","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2660754","2655354","2597369","2654586","NA","2593573","2660769","2666019","2593578","Left-Bias-Elimination","0","0","0","1920","-277","277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","2","2","NA","2","2","NA","2","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","0","0","0","2","2","0","16.522287667269296","Mon Jun 24 16:07:45 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","2","2","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/Patrick.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","3790.0","NA","3790","space","2","legacy","1024","2","48000","-16","experiment","NA","020.png","007.png","0","even","2666602.0","NA","2593571","2671126","2668104","NA","2671114","2666602","NA","2668104","NA","NA","2668114","NA","2671230","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2666129","2655354","2597369","2654586","NA","2593573","2666130","2671226","2593578","Left-Bias-Elimination","0","0","0","1920","160","-160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","3","3","NA","3","3","NA","3","NA","NA","3","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","0","0","0","0","0","3","3","0","29.552543841774437","Mon Jun 24 16:07:45 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","3","3","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/Patrick.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","3790.0","NA","3790","space","2","legacy","1024","2","48000","-16","experiment","NA","021.png","003.png","0","even","2671772.0","NA","2593571","2676430","2673414","NA","2676424","2671772","NA","2673414","NA","NA","2673424","NA","2676534","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2671336","2655354","2597369","2654586","NA","2593573","2671338","2676530","2593578","Left-Bias-Elimination","0","0","0","1920","-320","320","0","0"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","4","4","NA","4","4","NA","4","NA","NA","4","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","0","0","0","0","0","4","4","0","23.857269533624372","Mon Jun 24 16:07:45 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","4","4","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/Patrick.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","3790.0","NA","3790","space","2","legacy","1024","2","48000","-16","experiment","NA","010.png","002.png","0","even","2677114.0","NA","2593571","2681642","2678627","NA","2681636","2677114","NA","2678627","NA","NA","2678636","NA","2681746","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2676635","2655354","2597369","2654586","NA","2593573","2676636","2681742","2593578","Left-Bias-Elimination","0","0","0","1920","277","-277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","5","5","NA","5","5","NA","5","NA","NA","5","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","0","0","0","0","0","5","5","0","18.793274784347773","Mon Jun 24 16:07:45 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","5","5","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/Patrick.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","3790.0","NA","3790","space","2","legacy","1024","2","48000","-16","experiment","NA","017.png","001.png","0","even","2682260.0","NA","2593571","2686804","2683788","NA","2686797","2682260","NA","2683788","NA","NA","2683797","NA","2686908","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2681820","2655354","2597369","2654586","NA","2593573","2681821","2686904","2593578","Left-Bias-Elimination","0","0","0","1920","277","-277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","6","6","NA","6","6","NA","6","NA","NA","6","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","0","0","0","0","0","6","6","0","7.029324269088738","Mon Jun 24 16:07:45 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","6","6","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/Patrick.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","3790.0","NA","3790","space","2","legacy","1024","2","48000","-16","experiment","NA","001.png","017.png","0","even","2687444.0","NA","2593571","2692307","2689289","NA","2692298","2687444","NA","2689289","NA","NA","2689298","NA","2692412","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2686973","2655354","2597369","2654586","NA","2593573","2686975","2692407","2593578","Left-Bias-Elimination","0","0","0","1920","0","0","320","-320"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","7","7","NA","7","7","NA","7","NA","NA","7","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","0","0","0","0","0","7","7","0","24.942531608479527","Mon Jun 24 16:07:45 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","7","7","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/Patrick.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","3790.0","NA","3790","space","2","legacy","1024","2","48000","-16","experiment","NA","012.png","018.png","0","even","2692976.0","NA","2593571","2698177","2695162","NA","2698171","2692976","NA","2695162","NA","NA","2695171","NA","2698281","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2692528","2655354","2597369","2654586","NA","2593573","2692530","2698277","2593578","Left-Bias-Elimination","0","0","0","1920","-277","277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","8","8","NA","8","8","NA","8","NA","NA","8","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","0","0","0","0","0","8","8","0","9.360878804898533","Mon Jun 24 16:07:45 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","8","8","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/Patrick.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","3790.0","NA","3790","space","2","legacy","1024","2","48000","-16","experiment","NA","016.png","021.png","0","even","2698813.0","NA","2593571","2703467","2700452","NA","2703461","2698813","NA","2700452","NA","NA","2700460","NA","2703571","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2698368","2655354","2597369","2654586","NA","2593573","2698369","2703567","2593578","Left-Bias-Elimination","0","0","0","1920","160","-160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","9","9","NA","9","9","NA","9","NA","NA","9","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","0","0","0","0","0","9","9","0","18.839935796068932","Mon Jun 24 16:07:45 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","9","9","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/Patrick.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","3790.0","NA","3790","space","2","legacy","1024","2","48000","-16","experiment","NA","008.png","005.png","0","even","2704148.0","NA","2593571","2708691","2705675","NA","2708683","2704148","NA","2705675","NA","NA","2705683","NA","2708795","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2703681","2655354","2597369","2654586","NA","2593573","2703681","2708791","2593578","Left-Bias-Elimination","0","0","0","1920","-160","160","-277","277"
