CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
358570	3476.23389	59187941128	0.41395	0.48736	3476.16919	0.06470	8038	1	0.40308	0.47479	1	0.39520	0.49948	1	0.39914	0.48713	1	0.38921	0.41676	20.02522	1.04015	1	0.63746	0.41471	25.68758	1.04015	1	-0.02692	0.01522	0.65042	0.00443	1	0.03415	0.01563	0.64326	0.00566	1	0.53594	0.48981	0	STOP_TRIAL
358571	3476.25000	59188101958	0.41323	0.48781	3476.16919	0.08081	8038	1	0.41098	0.49499	1	0.40821	0.48515	1	0.40960	0.49007	1	0.38901	0.41679	20.19128	1.04015	1	0.63696	0.41452	25.50956	1.04015	1	-0.02692	0.01522	0.65042	0.00440	1	0.03415	0.01563	0.64326	0.00563	1	0.53594	0.48981	0	START_TRIAL
358572	3476.26611	59188263545	0.41192	0.48575	3476.16919	0.09692	8038	1	0.39483	0.47099	1	0.41340	0.47574	1	0.40412	0.47336	1	0.38879	0.41662	20.09507	1.04015	1	0.63673	0.41447	25.45894	1.04015	1	-0.02692	0.01522	0.65042	0.00437	1	0.03415	0.01563	0.64326	0.00565	1	0.53594	0.48981	0	
358573	3476.28223	59188424318	0.41095	0.48420	3476.16919	0.11304	8038	1	0.39483	0.47099	1	0.41340	0.47574	1	0.40412	0.47336	1	0.38847	0.41625	20.04208	1.04015	1	0.63659	0.41430	25.56637	1.04015	1	-0.02682	0.01515	0.64341	0.00438	1	0.03405	0.01577	0.64506	0.00563	1	0.53594	0.48981	0	
358574	3476.29858	59188589634	0.41259	0.48831	3476.16919	0.12939	8038	1	0.40415	0.51160	1	0.44737	0.53075	1	0.42576	0.52117	1	0.38835	0.41593	19.73236	1.04015	1	0.63665	0.41408	25.23153	1.04015	1	-0.02682	0.01515	0.64341	0.00435	1	0.03405	0.01577	0.64506	0.00556	1	0.53594	0.48981	0	
358575	3476.31470	59188749654	0.42364	0.50514	3476.16919	0.14551	8038	1	0.50972	0.67101	1	0.53644	0.64224	1	0.52308	0.65663	1	0.39012	0.41696	15.66941	1.04015	1	0.63914	0.41497	22.07126	1.04015	1	-0.02682	0.01515	0.64341	0.00400	1	0.03405	0.01577	0.64506	0.00564	1	0.53594	0.48981	0	
358576	3476.33105	59188914113	0.43270	0.51875	3476.16919	0.16187	8038	1	0.50972	0.67101	1	0.53673	0.63868	1	0.52322	0.65484	1	0.39173	0.41758	13.71469	1.04015	1	0.64040	0.41506	21.73506	1.04792	1	-0.02584	0.01537	0.64046	0.00415	1	0.03652	0.01662	0.67358	0.00570	1	0.53594	0.48981	0	
358577	3476.34692	59189073313	0.45204	0.55013	3476.16919	0.17773	8038	1	0.63922	0.92673	1	0.69054	0.86380	1	0.66488	0.89527	1	0.39545	0.41909	10.57283	1.04792	1	0.64364	0.41572	17.56707	1.05568	1	-0.02584	0.01537	0.64046	0.00350	1	0.03652	0.01662	0.67358	0.00519	1	0.53594	0.48981	0	
358578	3476.36353	59189237269	0.46791	0.57790	3476.16919	0.19434	8038	1	0.66937	0.96005	1	0.64712	0.86231	1	0.65825	0.91118	1	0.39485	0.41956	9.16452	1.05568	1	0.64311	0.41574	17.23416	1.06344	1	-0.02584	0.01537	0.64046	0.00341	1	0.03652	0.01662	0.67358	0.00504	1	0.53594	0.48981	0	
358579	3476.37964	59189399430	0.48151	0.60165	3476.16919	0.21045	8038	1	0.66960	0.95853	1	0.64712	0.86231	1	0.65836	0.91042	1	0.39486	0.41934	7.75849	1.06344	1	0.64327	0.41542	16.83447	1.06344	1	-0.02568	0.01527	0.63431	0.00205	1	0.03444	0.01593	0.63795	0.00507	1	0.53594	0.48981	0	
