CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
321272	2872.95166	53155120535	0.56458	0.48207	2872.22412	0.72754	7035	1	0.56734	0.50035	1	0.57465	0.51478	1	0.57099	0.50757	1	0.37570	0.35495	17.61942	1.02515	1	0.64871	0.34769	18.29059	1.02515	1	-0.02901	0.02556	0.60647	0.00343	1	0.03508	0.02732	0.61734	0.00344	1	0.56042	0.43519	0	STOP_TRIAL
321273	2872.96777	53155281757	0.56467	0.48237	2872.22412	0.74365	7035	1	0.56902	0.46741	1	0.56834	0.52432	1	0.56868	0.49586	1	0.37567	0.35512	17.82786	1.02515	1	0.64865	0.34786	18.66583	1.02515	1	-0.02901	0.02556	0.60647	0.00336	1	0.03508	0.02732	0.61734	0.00340	1	0.56042	0.43519	0	
321274	2872.98535	53155455666	0.56475	0.48265	2872.22412	0.76123	7035	1	0.56902	0.46741	1	0.56834	0.52432	1	0.56868	0.49586	1	0.37556	0.35513	18.13811	1.02515	1	0.64856	0.34804	18.71711	1.02515	1	-0.02901	0.02538	0.60647	0.00336	1	0.03508	0.02722	0.61734	0.00342	1	0.56042	0.43519	0	START_TRIAL
321275	2873.00024	53155605435	0.56578	0.48345	2872.22412	0.77612	7035	1	0.55954	0.48979	1	0.55398	0.51303	1	0.55676	0.50141	1	0.37546	0.35491	17.96783	1.02515	1	0.64842	0.34779	18.34916	1.02515	1	-0.02901	0.02538	0.60647	0.00336	1	0.03508	0.02722	0.61734	0.00343	1	0.56042	0.43519	0	
321276	2873.01660	53155769203	0.56543	0.48391	2872.22412	0.79248	7035	1	0.55893	0.52399	1	0.54709	0.49905	1	0.55301	0.51152	1	0.37534	0.35492	18.06615	1.02515	1	0.64830	0.34764	18.56531	1.02515	1	-0.02901	0.02538	0.60647	0.00338	1	0.03508	0.02722	0.61734	0.00344	1	0.56042	0.43519	0	
321277	2873.03271	53155930966	0.56508	0.48413	2872.22412	0.80859	7035	1	0.55891	0.51449	1	0.54761	0.48539	1	0.55326	0.49994	1	0.37533	0.35490	18.07453	1.03957	1	0.64815	0.34748	18.33714	1.04623	1	-0.03111	0.02732	0.64828	0.00335	1	0.03532	0.02754	0.62234	0.00345	1	0.56042	0.43519	0	
321278	2873.04883	53156091902	0.56529	0.48422	2872.22412	0.82471	7035	1	0.57768	0.50765	1	0.56889	0.45281	1	0.57329	0.48023	1	0.37496	0.35492	17.71411	1.06066	1	0.64799	0.34745	18.53309	1.06731	1	-0.03111	0.02732	0.64828	0.00343	1	0.03532	0.02754	0.62234	0.00345	1	0.56042	0.43519	0	
321279	2873.06494	53156253463	0.56532	0.48412	2872.22412	0.84082	7035	1	0.56156	0.49006	1	0.56195	0.44860	1	0.56175	0.46933	1	0.37480	0.35478	18.08292	1.08174	1	0.64783	0.34756	18.43463	1.08839	1	-0.03111	0.02732	0.64828	0.00344	1	0.03532	0.02754	0.62234	0.00345	1	0.56042	0.43519	0	
321280	2873.08130	53156414809	0.56536	0.48389	2872.22412	0.85718	7035	1	0.56157	0.48570	1	0.56218	0.44425	1	0.56187	0.46498	1	0.37469	0.35482	17.96901	1.08839	1	0.64749	0.34749	18.27707	1.09504	1	-0.02931	0.02548	0.60884	0.00349	1	0.03501	0.02744	0.62017	0.00349	1	0.56042	0.43519	0	
321281	2873.09741	53156577131	0.56508	0.48336	2872.22412	0.87329	7035	1	0.54601	0.44460	1	0.56681	0.45208	1	0.55641	0.44834	1	0.37452	0.35530	17.87044	1.08061	1	0.64735	0.34794	18.70950	1.08061	1	-0.02931	0.02548	0.60884	0.00337	1	0.03501	0.02744	0.62017	0.00347	1	0.56042	0.43519	0	
